symbol,contract,ts,open,high,low,close,volume,session
ES,ESZ4,2024-01-01T14:30:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:31:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:32:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:33:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:34:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:35:00Z,100,101,99,102,100,RTH
ES,ESZ4,2024-01-01T14:36:00Z,100,101,99,101,100,RTH
ES,ESZ4,2024-01-01T14:37:00Z,100,101,99,101,100,RTH
ES,ESZ4,2024-01-01T14:38:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:39:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:40:00Z,100,101,99,100,100,RTH
ES,ESZ4,2024-01-01T14:41:00Z,100,101,99,100,100,RTH
